Site ID,Year,Incubation(attempt),Ringing age (success),t-1(attempt),t-1(success),Sex,P8tot,Mass,Chick body condition,Urbanisation
C1,2014,1,1,0,0,1,172,1965,-256.8589692,0.026990553
C2,2016,1,1,1,0,1,187,2440,171.7103293,53.00315174
C2,2014,1,1,0,0,2,194.2705,3475,530.9898088,53.00315174
C3,2013,1,1,1,0,1,235,2250,-166.8679155,62.168355
C4,2016,1,1,1,1,2,215,2815,-193.175873,40.17092591
C4,2014,1,1,1,1,2,207,3350,366.5871678,40.17092591
C4,2013,1,1,0,0,2,208,3115,128.4917877,40.17092591
C5,2012,1,1,1,1,2,264,3010,-149.8494979,66.495255
C6,2016,1,1,0,0,2,180,2955,55.16243052,37.94996401
C7,2017,1,0,0,0,2,210,2740,-252.6989725,66.54368757
C7,2011,1,1,,,2,126,2245,-487.6870441,66.54368757
C8,2014,1,0,1,0,2,220,3070,46.3472265,72.54611
C9,2016,1,1,1,0,1,215,2515,160.0396865,49.68927317
C9,2014,1,0,1,1,2,214,2516,160.0396865,49.68927317
C9,2011,1,0,,,1,211,2185,-157.5787931,49.68927317
C10,2017,1,1,0,0,1,230,2275,-126.391015,9.652438464
C10,2015,1,1,0,0,2,205,2845,-132.222072,9.652438464
C11,2014,0,0,1,1,1,220,2400,29.56278598,34.46355649
C11,2011,1,1,,,1,126,2225,145.5285154,34.46355649
C12,2015,0,0,1,1,1,19.5,2470,720.1864961,0.57106599
C13,2016,1,1,1,0,2,150,2585,-221.9761665,41.1500045
C14,2012,0,0,1,1,2,180,2880,-19.83756948,56.02122494
C15,2015,1,1,1,1,2,211,2930,-65.79435259,27.11877
C16,2014,0,0,1,1,1,213,2825,476.2304467,16.35921894
C17,2015,1,1,0,0,1,161,2105,-82.80978809,7.736943907
C18,2016,1,0,0,0,1,170,1730,-485.668209,3.223192581
C18,2011,1,1,,,1,161,1840,-347.8097881,3.223192581
C19,2015,0,0,1,1,1,19,1965,216.7341862,77.00135075
C20,2016,0,0,1,1,2,100,1985,-667.2071614,0
C21,2017,0,0,0,0,1,226,2070,-319.0094946,1.013153
C22,2014,1,1,1,1,2,250,3000,-116.5141765,78.82363538
C22,2012,1,1,1,0,1,135,2035,-72.32990548,78.82363538
C22,2011,1,0,,,1,185,2195,-67.09891051,78.82363538
C23,2017,1,0,1,1,1,180,2350,103.37799,62.412805
C24,2015,1,0,1,1,2,257,3550,411.8181628,30.91727308
C24,2014,1,1,1,1,1,227,2410,17.89512528,30.91727308
C25,2017,0,0,1,1,2,219,3205,184.4426066,35.41870316
C25,2014,1,1,0,0,1,202,2445,130.2796278,35.41870316
C25,2012,1,1,,,2,168,3005,142.3069917,35.41870316
C26,2012,0,0,1,1,2,230,3360,305.3934255,10.59936909
C27,2014,1,1,1,1,2,180,3255,355.1624305,23.95294595
C27,2012,1,1,1,1,2,208,3020,33.49178771,23.95294595
C27,2011,1,1,,,2,157,2755,-73.64382717,23.95294595
C28,2017,1,1,1,1,1,161,2000,-187.8097881,51.775055
C28,2015,1,0,1,1,1,241,2435,-0.44019613,51.775055
C28,2014,1,1,1,1,2,187,2865,-56.50523018,51.775055
C29,2017,1,0,1,1,2,245,3160,58.96272399,61.26012601
C30,2011,1,0,,,2,220,3055,31.3472265,39.39299124
C31,2012,0,0,1,1,1,201,1855,-456.6249921,65.27102467
C31,2011,1,1,,,1,266,2470,-42.82469864,65.27102467
C32,2014,0,0,1,1,1,170,2415,199.331791,54.44734239
C32,2011,0,0,,,1,193,2435,148.1380487,54.44734239
C33,2014,0,0,1,1,2,215,2985,-23.17587299,47.55348443
C34,2015,1,0,0,0,2,140,2890,113.9776345,56.745317
C35,2012,1,1,1,1,1,170,2269,53.331791,24.5776052
C36,2017,1,1,0,0,1,156,2150,-22.33288759,26.67213413
C36,2015,1,1,1,1,1,195,2320,26.94728849,26.67213413
C36,2012,1,0,1,1,1,156,2030,-142.3328876,26.67213413
C36,2011,1,1,,,1,170,2255,39.331791,26.67213413
C37,2014,1,1,0,0,1,205,2755,430.9934875,23.88368744
C37,2012,1,1,0,0,1,206,2245,-82.10189261,23.88368744
C38,2017,1,1,1,1,1,225,2540,154.0858855,65.49707603
C38,2012,0,0,1,1,2,212,2820,-178.8897327,65.49707603
C38,2011,1,1,,,1,225,2375,-10.91411452,65.49707603
C39,2015,1,1,1,1,2,225,3565,525.870326,44.66552625
C39,2013,0,0,1,1,1,125,1740,-336.3761045,44.66552625
C39,2012,1,1,1,1,1,228,2355,-40.20025482,44.66552625
C40,2015,1,1,1,1,1,170,2625,409.331791,32.98839198
C40,2014,1,1,1,0,1,315,2650,-14.49832356,32.98839198
C41,2015,1,1,1,0,2,185,3205,289.68553,34.70574818
C41,2013,1,1,1,1,1,185,2335,72.90108949,34.70574818
C41,2012,1,1,1,1,2,233,2680,-383.8927148,34.70574818
